State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
DE,Kent County,2011,0.695,0.079,0.55,5553.0,55179.0,57.48333333333333,3.67,3.0,3.6,12.7,0,0,0,0,1,0,0
DE,New Castle County,2011,0.696,0.081,0.632,1844.0,63301.0,56.39166666666667,4.670000000000001,1.0,3.4,11.6,0,0,1,1,1,0,0
DE,Sussex County,2011,0.705,0.081,0.49,5578.0,47727.0,57.9,3.2750000000000004,2.0,3.3,10.5,0,0,0,0,0,0,1
FL,Alachua County,2011,0.706,0.071,0.7290000000000001,972.0,42980.0,70.225,3.5866666666666664,2.0,3.5,10.8,0,1,1,1,0,0,0
FL,Bay County,2011,0.6940000000000001,0.092,0.58,5648.0,45655.0,68.45,3.8108333333333335,3.0,3.5,21.8,0,0,0,0,0,0,0
FL,Brevard County,2011,0.747,0.105,0.644,3724.0,49473.0,73.45,4.204166666666667,2.0,3.4,20.4,0,0,1,0,1,0,0
FL,Broward County,2011,0.609,0.092,0.632,2385.0,51594.0,76.325,4.1925,1.0,3.3,13.6,0,0,1,0,1,0,0
FL,Charlotte County,2011,0.861,0.118,0.535,5088.0,46378.0,74.53333333333332,3.866666666666666,3.0,4.7,18.2,1,0,0,0,0,0,0
FL,Citrus County,2011,0.6679999999999999,0.123,0.455,10062.0,38476.0,71.15833333333333,4.010833333333332,3.0,4.7,31.5,0,0,0,0,0,0,0
FL,Clay County,2011,0.825,0.093,0.6,5003.0,61057.0,70.10833333333332,3.870833333333333,1.0,3.7,14.0,1,0,0,0,1,0,0
FL,Collier County,2011,0.731,0.1119999999999999,0.473,4098.0,61379.0,75.66666666666667,3.8483333333333327,2.0,3.2,10.4,0,0,0,0,1,0,0
FL,Columbia County,2011,0.674,0.094,0.432,6890.0,38816.0,69.04166666666667,4.075,4.0,3.3,17.8,0,0,0,0,0,0,0
FL,Duval County,2011,0.602,0.106,0.613,4082.0,50660.0,69.71666666666665,3.8225,1.0,3.6,15.9,0,0,1,0,1,0,0
FL,Escambia County,2011,0.59,0.098,0.5870000000000001,3291.0,41690.0,67.90833333333333,3.605000000000001,2.0,3.8,12.7,0,0,0,0,0,0,0
FL,Flagler County,2011,0.856,0.148,0.595,10078.0,49014.0,71.39999999999998,3.83,2.0,4.2,16.4,1,0,0,0,1,0,0
FL,Hernando County,2011,0.687,0.132,0.551,21431.0,39552.0,71.675,4.095833333333333,1.0,5.5,27.8,0,0,0,0,0,0,0
